filmId,bodyId,bodyType,result,year,section
film-119,festival-017,Festival,Official Selection,2013,Documentary Competition
film-120,festival-038,Festival,Longlisted,2020,Audience Selection
film-120,festival-009,Festival,Official Selection,2021,New Voices
film-120,festival-020,Festival,Official Selection,2020,Animation Competition
film-120,festival-031,Festival,Official Selection,2021,Audience Selection
film-121,festival-001,Festival,Official Selection,2010,Official Programme
film-121,award-001,Award,Nominated,2010,Short Film
film-122,festival-004,Festival,Official Selection,2014,New Voices
film-122,festival-015,Festival,Official Selection,2015,Animation Competition
film-123,festival-007,Festival,Official Selection,2021,Documentary Competition
film-123,festival-018,Festival,Nominated,2022,Experimental Programme
film-123,festival-029,Festival,Winner,2021,Official Programme
film-124,festival-010,Festival,Nominated,2010,Animation Competition
film-124,festival-021,Festival,Winner,2011,Audience Selection
film-124,festival-032,Festival,Special Mention,2010,New Voices
film-124,festival-003,Festival,Shortlisted,2011,Animation Competition
film-125,festival-013,Festival,Winner,2015,Experimental Programme
film-125,award-005,Award,Winner,2015,Short Film
film-126,festival-016,Festival,Special Mention,2022,Audience Selection
film-126,festival-027,Festival,Shortlisted,2023,New Voices
film-127,festival-019,Festival,Shortlisted,2010,Official Programme
film-127,festival-030,Festival,Longlisted,2011,Documentary Competition
film-127,festival-001,Festival,Official Selection,2010,Experimental Programme
film-128,festival-022,Festival,Longlisted,2016,New Voices
film-128,festival-033,Festival,Official Selection,2017,Animation Competition
film-128,festival-004,Festival,Official Selection,2016,Audience Selection
film-128,festival-015,Festival,Official Selection,2017,New Voices
film-129,festival-025,Festival,Official Selection,2023,Documentary Competition
film-129,award-009,Award,Shortlisted,2023,Short Film
film-130,festival-028,Festival,Official Selection,2010,Animation Competition
film-130,festival-039,Festival,Official Selection,2011,Audience Selection
film-131,festival-031,Festival,Official Selection,2017,Experimental Programme
film-131,festival-002,Festival,Nominated,2018,Official Programme
film-131,festival-013,Festival,Winner,2017,Documentary Competition
film-132,festival-034,Festival,Nominated,2024,Audience Selection
film-132,festival-005,Festival,Winner,2025,New Voices
film-132,festival-016,Festival,Special Mention,2024,Animation Competition
film-132,festival-027,Festival,Shortlisted,2025,Audience Selection
film-133,festival-037,Festival,Winner,2011,Official Programme
film-133,award-001,Award,Nominated,2011,Short Film
film-134,festival-040,Festival,Special Mention,2018,New Voices
film-134,festival-011,Festival,Shortlisted,2019,Animation Competition
film-135,festival-003,Festival,Shortlisted,2025,Documentary Competition
film-135,festival-014,Festival,Longlisted,2026,Experimental Programme
film-135,festival-025,Festival,Official Selection,2025,Official Programme
film-136,festival-006,Festival,Longlisted,2012,Animation Competition
film-136,festival-017,Festival,Official Selection,2013,Audience Selection
film-136,festival-028,Festival,Official Selection,2012,New Voices
film-136,festival-039,Festival,Official Selection,2013,Animation Competition
film-137,festival-009,Festival,Official Selection,2019,Experimental Programme
film-137,award-005,Award,Winner,2019,Short Film
film-138,festival-012,Festival,Official Selection,2026,Audience Selection
film-138,festival-023,Festival,Official Selection,2027,New Voices
film-139,festival-015,Festival,Official Selection,2013,Official Programme
film-139,festival-026,Festival,Nominated,2014,Documentary Competition
film-139,festival-037,Festival,Winner,2013,Experimental Programme
film-140,festival-018,Festival,Nominated,2020,New Voices
film-140,festival-029,Festival,Winner,2021,Animation Competition
film-140,festival-040,Festival,Special Mention,2020,Audience Selection
film-140,festival-011,Festival,Shortlisted,2021,New Voices
film-141,festival-021,Festival,Winner,2010,Documentary Competition
film-141,award-009,Award,Shortlisted,2010,Short Film
film-142,festival-024,Festival,Special Mention,2014,Animation Competition
film-142,festival-035,Festival,Shortlisted,2015,Audience Selection
film-143,festival-027,Festival,Shortlisted,2021,Experimental Programme
film-143,festival-038,Festival,Longlisted,2022,Official Programme
film-143,festival-009,Festival,Official Selection,2021,Documentary Competition
film-144,festival-030,Festival,Longlisted,2010,Audience Selection
film-144,festival-001,Festival,Official Selection,2011,New Voices
film-144,festival-012,Festival,Official Selection,2010,Animation Competition
film-144,festival-023,Festival,Official Selection,2011,Audience Selection
film-145,festival-033,Festival,Official Selection,2015,Official Programme
film-145,award-001,Award,Nominated,2015,Short Film
film-146,festival-036,Festival,Official Selection,2022,New Voices
film-146,festival-007,Festival,Official Selection,2023,Animation Competition
film-147,festival-039,Festival,Official Selection,2010,Documentary Competition
film-147,festival-010,Festival,Nominated,2011,Experimental Programme
film-147,festival-021,Festival,Winner,2010,Official Programme
film-148,festival-002,Festival,Nominated,2016,Animation Competition
film-148,festival-013,Festival,Winner,2017,Audience Selection
film-148,festival-024,Festival,Special Mention,2016,New Voices
film-148,festival-035,Festival,Shortlisted,2017,Animation Competition
film-149,festival-005,Festival,Winner,2023,Experimental Programme
film-149,award-005,Award,Winner,2023,Short Film
film-150,festival-008,Festival,Special Mention,2010,Audience Selection
film-150,festival-019,Festival,Shortlisted,2011,New Voices
film-151,festival-011,Festival,Shortlisted,2017,Official Programme
film-151,festival-022,Festival,Longlisted,2018,Documentary Competition
film-151,festival-033,Festival,Official Selection,2017,Experimental Programme
film-152,festival-014,Festival,Longlisted,2024,New Voices
film-152,festival-025,Festival,Official Selection,2025,Animation Competition
film-152,festival-036,Festival,Official Selection,2024,Audience Selection
film-152,festival-007,Festival,Official Selection,2025,New Voices
film-153,festival-017,Festival,Official Selection,2011,Documentary Competition
film-153,award-009,Award,Shortlisted,2011,Short Film
film-154,festival-020,Festival,Official Selection,2018,Animation Competition
film-154,festival-031,Festival,Official Selection,2019,Audience Selection
film-155,festival-023,Festival,Official Selection,2025,Experimental Programme
film-155,festival-034,Festival,Nominated,2026,Official Programme
film-155,festival-005,Festival,Winner,2025,Documentary Competition
film-156,festival-026,Festival,Nominated,2012,Audience Selection
film-156,festival-037,Festival,Winner,2013,New Voices
film-156,festival-008,Festival,Special Mention,2012,Animation Competition
film-156,festival-019,Festival,Shortlisted,2013,Audience Selection
film-157,festival-029,Festival,Winner,2019,Official Programme
film-157,award-001,Award,Nominated,2019,Short Film
film-158,festival-032,Festival,Special Mention,2026,New Voices
film-158,festival-003,Festival,Shortlisted,2027,Animation Competition
film-159,festival-035,Festival,Shortlisted,2013,Documentary Competition
film-159,festival-006,Festival,Longlisted,2014,Experimental Programme
film-159,festival-017,Festival,Official Selection,2013,Official Programme
film-160,festival-038,Festival,Longlisted,2020,Animation Competition
film-160,festival-009,Festival,Official Selection,2021,Audience Selection
film-160,festival-020,Festival,Official Selection,2020,New Voices
film-160,festival-031,Festival,Official Selection,2021,Animation Competition
film-161,festival-001,Festival,Official Selection,2010,Experimental Programme
film-161,award-005,Award,Winner,2010,Short Film
film-162,festival-004,Festival,Official Selection,2014,Audience Selection
film-162,festival-015,Festival,Official Selection,2015,New Voices
film-163,festival-007,Festival,Official Selection,2021,Official Programme
film-163,festival-018,Festival,Nominated,2022,Documentary Competition
film-163,festival-029,Festival,Winner,2021,Experimental Programme
film-164,festival-010,Festival,Nominated,2010,New Voices
film-164,festival-021,Festival,Winner,2011,Animation Competition
film-164,festival-032,Festival,Special Mention,2010,Audience Selection
film-164,festival-003,Festival,Shortlisted,2011,New Voices
film-165,festival-013,Festival,Winner,2015,Documentary Competition
film-165,award-009,Award,Shortlisted,2015,Short Film
film-166,festival-016,Festival,Special Mention,2022,Animation Competition
film-166,festival-027,Festival,Shortlisted,2023,Audience Selection
film-167,festival-019,Festival,Shortlisted,2010,Experimental Programme
film-167,festival-030,Festival,Longlisted,2011,Official Programme
film-167,festival-001,Festival,Official Selection,2010,Documentary Competition
film-168,festival-022,Festival,Longlisted,2016,Audience Selection
film-168,festival-033,Festival,Official Selection,2017,New Voices
film-168,festival-004,Festival,Official Selection,2016,Animation Competition
film-168,festival-015,Festival,Official Selection,2017,Audience Selection
film-169,festival-025,Festival,Official Selection,2023,Official Programme
film-169,award-001,Award,Nominated,2023,Short Film
film-170,festival-028,Festival,Official Selection,2010,New Voices
film-170,festival-039,Festival,Official Selection,2011,Animation Competition
film-171,festival-031,Festival,Official Selection,2017,Documentary Competition
film-171,festival-002,Festival,Nominated,2018,Experimental Programme
film-171,festival-013,Festival,Winner,2017,Official Programme
film-172,festival-034,Festival,Nominated,2024,Animation Competition
film-172,festival-005,Festival,Winner,2025,Audience Selection
film-172,festival-016,Festival,Special Mention,2024,New Voices
film-172,festival-027,Festival,Shortlisted,2025,Animation Competition
film-173,festival-037,Festival,Winner,2011,Experimental Programme
film-173,award-005,Award,Winner,2011,Short Film
film-174,festival-040,Festival,Special Mention,2018,Audience Selection
film-174,festival-011,Festival,Shortlisted,2019,New Voices
film-175,festival-003,Festival,Shortlisted,2025,Official Programme
film-175,festival-014,Festival,Longlisted,2026,Documentary Competition
film-175,festival-025,Festival,Official Selection,2025,Experimental Programme
film-176,festival-006,Festival,Longlisted,2012,New Voices
film-176,festival-017,Festival,Official Selection,2013,Animation Competition
film-176,festival-028,Festival,Official Selection,2012,Audience Selection
film-176,festival-039,Festival,Official Selection,2013,New Voices
film-177,festival-009,Festival,Official Selection,2019,Documentary Competition
film-177,award-009,Award,Shortlisted,2019,Short Film
film-178,festival-012,Festival,Official Selection,2026,Animation Competition
film-178,festival-023,Festival,Official Selection,2027,Audience Selection
film-179,festival-015,Festival,Official Selection,2013,Experimental Programme
film-179,festival-026,Festival,Nominated,2014,Official Programme
film-179,festival-037,Festival,Winner,2013,Documentary Competition
film-180,festival-018,Festival,Nominated,2020,Audience Selection
film-180,festival-029,Festival,Winner,2021,New Voices
film-180,festival-040,Festival,Special Mention,2020,Animation Competition
film-180,festival-011,Festival,Shortlisted,2021,Audience Selection
