id,title,slug,year,published,editorialType,synopsis,runtimeSeconds,form,genres,themes,techniques,country,filmingCountry,storyLocation,shootingFormat,colour,aspectRatio,popularity,directorIds,companyIds,poster,posterAlt
film-029,Little Sky,little-sky-029,2023,2023-05-02,Interview,"A fictional documentary about home, family and an unexpected coast encounter.",464,Documentary,Music Film|Coming of Age,Home|Family|Climate,Motion Capture|Stop Motion,Spain,Nigeria,River,Super 8,Colour,2.39:1,4,person-029,company-005,images/film-029.svg,Abstract poster artwork for Little Sky
film-030,Lost City,lost-city-030,2010,2010-06-03,Industry Insight,"A fictional drama about time, belonging and an unexpected city encounter.",547,Drama,Social Realism|Science Fiction,Time|Belonging|Identity,Miniatures|Hand-drawn Animation,Norway,France,Suburb,Mixed media,Colour,1:1,5,person-030,,images/film-030.svg,Abstract poster artwork for Lost City
film-031,North Light,north-light-031,2017,2017-07-04,Top Ten,"A fictional animation about memory, work and an unexpected forest encounter.",630,Animation,Essay Film|Comedy,Memory|Work|Community,Archive Footage|16mm,Canada,Brazil,Coast,Digital,Colour,16:9,1,person-031,company-007,images/film-031.svg,Abstract poster artwork for North Light
film-032,Open River,open-river-032,2024,2024-08-05,Review,"A fictional experimental about place, technology and an unexpected home encounter.",713,Experimental,Coming of Age|Portrait,Place|Technology|Grief,Natural Light|Mixed Media,Ireland,United Kingdom,City,16mm,Colour,4:3,2,person-032,company-008,images/film-032.svg,Abstract poster artwork for Open River
film-033,Quiet Weather,quiet-weather-033,2011,2011-09-06,Curated Collection,"A fictional documentary about family, migration and an unexpected factory encounter.",796,Documentary,Science Fiction|Dance Film,Family|Migration|Play,Stop Motion|Long Take,Japan,Netherlands,Forest,35mm,Colour,1.85:1,3,person-033,company-009,images/film-033.svg,Abstract poster artwork for Quiet Weather
film-034,Red Garden,red-garden-034,2018,2018-10-07,Festival Coverage,"A fictional drama about belonging, climate and an unexpected island encounter.",879,Drama,Comedy|Environmental,Belonging|Climate|Power,Hand-drawn Animation|Found Sound,Germany,Portugal,Home,Super 8,Colour,2.39:1,4,person-034|person-005,company-010,images/film-034.svg,Abstract poster artwork for Red Garden
film-035,Second Map,second-map-035,2025,2025-11-08,Best of Fest,"A fictional animation about work, identity and an unexpected mountain encounter.",962,Animation,Portrait|Mystery,Work|Identity|Home,16mm|Motion Capture,Portugal,Germany,Factory,Mixed media,Colour,1:1,5,person-035,company-011,images/film-035.svg,Abstract poster artwork for Second Map
film-036,Soft Signal,soft-signal-036,2012,2012-12-09,Interview,"A fictional experimental about technology, community and an unexpected school encounter.",1045,Experimental,Dance Film|Music Film,Technology|Community|Time,Mixed Media|Miniatures,Netherlands,Japan,Island,Digital,Black and white,16:9,1,person-036,company-012,images/film-036.svg,Abstract poster artwork for Soft Signal
film-037,After City,after-city-037,2019,2019-01-10,Industry Insight,"A fictional documentary about migration, grief and an unexpected river encounter.",1128,Documentary,Environmental|Social Realism,Migration|Grief|Memory,Long Take|Archive Footage,United Kingdom,Ireland,Mountain,16mm,Colour,4:3,2,person-001,company-013,images/film-037.svg,Abstract poster artwork for After City
film-038,Before Light,before-light-038,2026,2026-02-11,Top Ten,"A fictional drama about climate, play and an unexpected suburb encounter.",1211,Drama,Mystery|Essay Film,Climate|Play|Place,Found Sound|Natural Light,Brazil,Canada,School,35mm,Colour,1.85:1,3,person-002,company-014,,
film-039,Beyond River,beyond-river-039,2013,2013-03-12,Review,"A fictional animation about identity, power and an unexpected coast encounter.",,Animation,Music Film|Coming of Age,Identity|Power|Family,Motion Capture|Stop Motion,France,Norway,River,Super 8,Colour,2.39:1,4,person-003,company-015,images/film-039.svg,Abstract poster artwork for Beyond River
film-040,Borrowed Weather 040,borrowed-weather-040-040,2020,2020-04-13,Curated Collection,"A fictional experimental about community, home and an unexpected city encounter.",1377,Experimental,Social Realism|Science Fiction,Community|Home|Belonging,Miniatures|Hand-drawn Animation,Nigeria,Spain,Suburb,Mixed media,Colour,1:1,5,person-004,,images/film-040.svg,Abstract poster artwork for Borrowed Weather 040
film-041,Broken Garden,broken-garden-041,2007,2007-05-14,Festival Coverage,"A fictional documentary about grief, time and an unexpected forest encounter.",380,Documentary,Essay Film|Comedy,Grief|Time|Work,Archive Footage|16mm,Spain,Nigeria,Coast,Digital,Colour,16:9,1,person-005,company-017,images/film-041.svg,Abstract poster artwork for Broken Garden
film-042,Distant Map,distant-map-042,2014,2014-06-15,Best of Fest,"A fictional drama about play, memory and an unexpected home encounter.",463,Drama,Coming of Age|Portrait,Play|Memory|Technology,Natural Light|Mixed Media,Norway,France,City,16mm,Colour,4:3,2,person-006,company-018,images/film-042.svg,Abstract poster artwork for Distant Map
film-043,Electric Signal,electric-signal-043,2021,2021-07-16,Interview,"A fictional animation about power, place and an unexpected factory encounter.",546,Animation,Science Fiction|Dance Film,Power|Place|Migration,Stop Motion|Long Take,Canada,Brazil,Forest,35mm,Colour,1.85:1,3,person-007,company-019,images/film-043.svg,Abstract poster artwork for Electric Signal
film-044,Every Bird,every-bird-044,2008,2008-08-17,Industry Insight,"A fictional experimental about home, family and an unexpected island encounter.",629,Experimental,Comedy|Environmental,Home|Family|Climate,Hand-drawn Animation|Found Sound,Ireland,United Kingdom,Home,Super 8,Colour,2.39:1,4,person-008,company-020,images/film-044.svg,Abstract poster artwork for Every Bird
film-045,Hidden Harbour,hidden-harbour-045,2015,2015-09-18,Top Ten,"A fictional documentary about time, belonging and an unexpected mountain encounter.",712,Documentary,Portrait|Mystery,Time|Belonging|Identity,16mm|Motion Capture,Japan,Netherlands,Factory,Mixed media,Black and white,1:1,5,person-009,company-021,images/film-045.svg,Abstract poster artwork for Hidden Harbour
film-046,Last Orchard,last-orchard-046,2022,2022-10-19,Review,"A fictional drama about memory, work and an unexpected school encounter.",795,Drama,Dance Film|Music Film,Memory|Work|Community,Mixed Media|Miniatures,Germany,Portugal,Island,Digital,Colour,16:9,1,person-010,company-022,images/film-046.svg,Abstract poster artwork for Last Orchard
film-047,Little Thread,little-thread-047,2009,2009-11-20,Curated Collection,"A fictional animation about place, technology and an unexpected river encounter.",878,Animation,Environmental|Social Realism,Place|Technology|Grief,Long Take|Archive Footage,Portugal,Germany,Mountain,16mm,Colour,4:3,2,person-011,company-023,images/film-047.svg,Abstract poster artwork for Little Thread
film-048,Lost Current,lost-current-048,2016,2016-12-21,Festival Coverage,"A fictional experimental about family, migration and an unexpected suburb encounter.",961,Experimental,Mystery|Essay Film,Family|Migration|Play,Found Sound|Natural Light,Netherlands,Japan,School,35mm,Colour,1.85:1,3,person-012,company-024,images/film-048.svg,Abstract poster artwork for Lost Current
film-049,North Machine,north-machine-049,2023,2023-01-22,Best of Fest,"A fictional documentary about belonging, climate and an unexpected coast encounter.",1044,Documentary,Music Film|Coming of Age,Belonging|Climate|Power,Motion Capture|Stop Motion,United Kingdom,Ireland,River,Super 8,Colour,2.39:1,4,person-013,company-001,images/film-049.svg,Abstract poster artwork for North Machine
film-050,Open Room,open-room-050,2010,2010-02-23,Interview,"A fictional drama about work, identity and an unexpected city encounter.",1127,Drama,Social Realism|Science Fiction,Work|Identity|Home,Miniatures|Hand-drawn Animation,Brazil,Canada,Suburb,Mixed media,Colour,1:1,5,person-014,,images/film-050.svg,Abstract poster artwork for Open Room
film-051,Quiet Archive,quiet-archive-051,2017,2017-03-24,Industry Insight,"A fictional animation about technology, community and an unexpected forest encounter.",1210,Animation,Essay Film|Comedy,Technology|Community|Time,Archive Footage|16mm,France,Norway,Coast,Digital,Colour,16:9,1,person-015|person-022,company-003,images/film-051.svg,Abstract poster artwork for Quiet Archive
film-052,Red Glass,red-glass-052,2024,2024-04-25,Top Ten,"A fictional experimental about migration, grief and an unexpected home encounter.",,Experimental,Coming of Age|Portrait,Migration|Grief|Memory,Natural Light|Mixed Media,Nigeria,Spain,City,16mm,Colour,4:3,2,person-016,company-004,images/film-052.svg,Abstract poster artwork for Red Glass
film-053,Second Moon,second-moon-053,2011,2011-05-26,Review,"A fictional documentary about climate, play and an unexpected factory encounter.",1376,Documentary,Science Fiction|Dance Film,Climate|Play|Place,Stop Motion|Long Take,Spain,Nigeria,Forest,35mm,Colour,1.85:1,3,person-017,company-005,images/film-053.svg,Abstract poster artwork for Second Moon
film-054,Soft Sky,soft-sky-054,2018,2018-06-27,Curated Collection,"A fictional drama about identity, power and an unexpected island encounter.",379,Drama,Comedy|Environmental,Identity|Power|Family,Hand-drawn Animation|Found Sound,Norway,France,Home,Super 8,Black and white,2.39:1,4,person-018,company-006,images/film-054.svg,Abstract poster artwork for Soft Sky
film-055,After Current,after-current-055,2025,2025-07-01,Festival Coverage,"A fictional animation about community, home and an unexpected mountain encounter.",462,Animation,Portrait|Mystery,Community|Home|Belonging,16mm|Motion Capture,Canada,Brazil,Factory,Mixed media,Colour,1:1,5,person-019,company-007,images/film-055.svg,Abstract poster artwork for After Current
film-056,Before Machine,before-machine-056,2012,2012-08-02,Best of Fest,"A fictional experimental about grief, time and an unexpected school encounter.",545,Experimental,Dance Film|Music Film,Grief|Time|Work,Mixed Media|Miniatures,Ireland,United Kingdom,Island,Digital,Colour,16:9,1,person-020,company-008,images/film-056.svg,Abstract poster artwork for Before Machine
film-057,Beyond Room,beyond-room-057,2019,2019-09-03,Interview,"A fictional documentary about play, memory and an unexpected river encounter.",628,Documentary,Environmental|Social Realism,Play|Memory|Technology,Long Take|Archive Footage,Japan,Netherlands,Mountain,16mm,Colour,4:3,2,person-021,company-009,,
film-058,Borrowed Archive,borrowed-archive-058,2026,2026-10-04,Industry Insight,"A fictional drama about power, place and an unexpected suburb encounter.",711,Drama,Mystery|Essay Film,Power|Place|Migration,Found Sound|Natural Light,Germany,Portugal,School,35mm,Colour,1.85:1,3,person-022,company-010,images/film-058.svg,Abstract poster artwork for Borrowed Archive
film-059,Broken Glass,broken-glass-059,2013,2013-11-05,Top Ten,"A fictional animation about home, family and an unexpected coast encounter.",794,Animation,Music Film|Coming of Age,Home|Family|Climate,Motion Capture|Stop Motion,Portugal,Germany,River,Super 8,Colour,2.39:1,4,person-023,company-011,images/film-059.svg,Abstract poster artwork for Broken Glass
film-060,Distant Moon,distant-moon-060,2020,2020-12-06,Review,"A fictional experimental about time, belonging and an unexpected city encounter.",877,Experimental,Social Realism|Science Fiction,Time|Belonging|Identity,Miniatures|Hand-drawn Animation,Netherlands,Japan,Suburb,Mixed media,Colour,1:1,5,person-024,,images/film-060.svg,Abstract poster artwork for Distant Moon
film-061,Electric Sky,electric-sky-061,2007,2007-01-07,Curated Collection,"A fictional documentary about memory, work and an unexpected forest encounter.",960,Documentary,Essay Film|Comedy,Memory|Work|Community,Archive Footage|16mm,United Kingdom,Ireland,Coast,Digital,Colour,16:9,1,person-025,company-013,images/film-061.svg,Abstract poster artwork for Electric Sky
film-062,Every City,every-city-062,2014,2014-02-08,Festival Coverage,"A fictional drama about place, technology and an unexpected home encounter.",1043,Drama,Coming of Age|Portrait,Place|Technology|Grief,Natural Light|Mixed Media,Brazil,Canada,City,16mm,Colour,4:3,2,person-026,company-014,images/film-062.svg,Abstract poster artwork for Every City
film-063,Hidden Light,hidden-light-063,2021,2021-03-09,Best of Fest,"A fictional animation about family, migration and an unexpected factory encounter.",1126,Animation,Science Fiction|Dance Film,Family|Migration|Play,Stop Motion|Long Take,France,Norway,Forest,35mm,Black and white,1.85:1,3,person-027,company-015,images/film-063.svg,Abstract poster artwork for Hidden Light
film-064,Last River,last-river-064,2008,2008-04-10,Interview,"A fictional experimental about belonging, climate and an unexpected island encounter.",1209,Experimental,Comedy|Environmental,Belonging|Climate|Power,Hand-drawn Animation|Found Sound,Nigeria,Spain,Home,Super 8,Colour,2.39:1,4,person-028,company-016,images/film-064.svg,Abstract poster artwork for Last River
film-065,Little Weather,little-weather-065,2015,2015-05-11,Industry Insight,"A fictional documentary about work, identity and an unexpected mountain encounter.",,Documentary,Portrait|Mystery,Work|Identity|Home,16mm|Motion Capture,Spain,Nigeria,Factory,Mixed media,Colour,1:1,5,person-029,company-017,images/film-065.svg,Abstract poster artwork for Little Weather
film-066,Lost Garden,lost-garden-066,2022,2022-06-12,Top Ten,"A fictional drama about technology, community and an unexpected school encounter.",1375,Drama,Dance Film|Music Film,Technology|Community|Time,Mixed Media|Miniatures,Norway,France,Island,Digital,Colour,16:9,1,person-030,company-018,images/film-066.svg,Abstract poster artwork for Lost Garden
film-067,North Map,north-map-067,2009,2009-07-13,Review,"A fictional animation about migration, grief and an unexpected river encounter.",378,Animation,Environmental|Social Realism,Migration|Grief|Memory,Long Take|Archive Footage,Canada,Brazil,Mountain,16mm,Colour,4:3,2,person-031,company-019,images/film-067.svg,Abstract poster artwork for North Map
film-068,Open Signal,open-signal-068,2016,2016-08-14,Curated Collection,"A fictional experimental about climate, play and an unexpected suburb encounter.",461,Experimental,Mystery|Essay Film,Climate|Play|Place,Found Sound|Natural Light,Ireland,United Kingdom,School,35mm,Colour,1.85:1,3,person-032|person-003,company-020,images/film-068.svg,Abstract poster artwork for Open Signal
film-069,Quiet Bird,quiet-bird-069,2023,2023-09-15,Festival Coverage,"A fictional documentary about identity, power and an unexpected coast encounter.",544,Documentary,Music Film|Coming of Age,Identity|Power|Family,Motion Capture|Stop Motion,Japan,Netherlands,River,Super 8,Colour,2.39:1,4,person-033,company-021,images/film-069.svg,Abstract poster artwork for Quiet Bird
film-070,Red Harbour,red-harbour-070,2010,2010-10-16,Best of Fest,"A fictional drama about community, home and an unexpected city encounter.",627,Drama,Social Realism|Science Fiction,Community|Home|Belonging,Miniatures|Hand-drawn Animation,Germany,Portugal,Suburb,Mixed media,Colour,1:1,5,person-034,,images/film-070.svg,Abstract poster artwork for Red Harbour
film-071,Second Orchard,second-orchard-071,2017,2017-11-17,Interview,"A fictional animation about grief, time and an unexpected forest encounter.",710,Animation,Essay Film|Comedy,Grief|Time|Work,Archive Footage|16mm,Portugal,Germany,Coast,Digital,Colour,16:9,1,person-035,company-023,images/film-071.svg,Abstract poster artwork for Second Orchard
film-072,Soft Thread,soft-thread-072,2024,2024-12-18,Industry Insight,"A fictional experimental about play, memory and an unexpected home encounter.",793,Experimental,Coming of Age|Portrait,Play|Memory|Technology,Natural Light|Mixed Media,Netherlands,Japan,City,16mm,Black and white,4:3,2,person-036,company-024,images/film-072.svg,Abstract poster artwork for Soft Thread
film-073,After Garden,after-garden-073,2011,2011-01-19,Top Ten,"A fictional documentary about power, place and an unexpected factory encounter.",876,Documentary,Science Fiction|Dance Film,Power|Place|Migration,Stop Motion|Long Take,United Kingdom,Ireland,Forest,35mm,Colour,1.85:1,3,person-001,company-001,images/film-073.svg,Abstract poster artwork for After Garden
film-074,Before Map,before-map-074,2018,2018-02-20,Review,"A fictional drama about home, family and an unexpected island encounter.",959,Drama,Comedy|Environmental,Home|Family|Climate,Hand-drawn Animation|Found Sound,Brazil,Canada,Home,Super 8,Colour,2.39:1,4,person-002,company-002,images/film-074.svg,Abstract poster artwork for Before Map
film-075,Beyond Signal,beyond-signal-075,2025,2025-03-21,Curated Collection,"A fictional animation about time, belonging and an unexpected mountain encounter.",1042,Animation,Portrait|Mystery,Time|Belonging|Identity,16mm|Motion Capture,France,Norway,Factory,Mixed media,Colour,1:1,5,person-003,company-003,images/film-075.svg,Abstract poster artwork for Beyond Signal
film-076,Borrowed Bird,borrowed-bird-076,2012,2012-04-22,Festival Coverage,"A fictional experimental about memory, work and an unexpected school encounter.",1125,Experimental,Dance Film|Music Film,Memory|Work|Community,Mixed Media|Miniatures,Nigeria,Spain,Island,Digital,Colour,16:9,1,person-004,company-004,,
film-077,Broken Harbour,broken-harbour-077,2019,2019-05-23,Best of Fest,"A fictional documentary about place, technology and an unexpected river encounter.",1208,Documentary,Environmental|Social Realism,Place|Technology|Grief,Long Take|Archive Footage,Spain,Nigeria,Mountain,16mm,Colour,4:3,2,person-005,company-005,images/film-077.svg,Abstract poster artwork for Broken Harbour
film-078,Distant Orchard,distant-orchard-078,2026,2026-06-24,Interview,"A fictional drama about family, migration and an unexpected suburb encounter.",,Drama,Mystery|Essay Film,Family|Migration|Play,Found Sound|Natural Light,Norway,France,School,35mm,Colour,1.85:1,3,person-006,company-006,images/film-078.svg,Abstract poster artwork for Distant Orchard
film-079,Electric Thread,electric-thread-079,2013,2013-07-25,Industry Insight,"A fictional animation about belonging, climate and an unexpected coast encounter.",1374,Animation,Music Film|Coming of Age,Belonging|Climate|Power,Motion Capture|Stop Motion,Canada,Brazil,River,Super 8,Colour,2.39:1,4,person-007,company-007,images/film-079.svg,Abstract poster artwork for Electric Thread
film-080,Every Current,every-current-080,2020,2020-08-26,Top Ten,"A fictional experimental about work, identity and an unexpected city encounter.",377,Experimental,Social Realism|Science Fiction,Work|Identity|Home,Miniatures|Hand-drawn Animation,Ireland,United Kingdom,Suburb,Mixed media,Colour,1:1,5,person-008,,images/film-080.svg,Abstract poster artwork for Every Current
film-081,Hidden Machine,hidden-machine-081,2007,2007-09-27,Review,"A fictional documentary about technology, community and an unexpected forest encounter.",460,Documentary,Essay Film|Comedy,Technology|Community|Time,Archive Footage|16mm,Japan,Netherlands,Coast,Digital,Black and white,16:9,1,person-009,company-009,images/film-081.svg,Abstract poster artwork for Hidden Machine
film-082,Last Room,last-room-082,2014,2014-10-01,Curated Collection,"A fictional drama about migration, grief and an unexpected home encounter.",543,Drama,Coming of Age|Portrait,Migration|Grief|Memory,Natural Light|Mixed Media,Germany,Portugal,City,16mm,Colour,4:3,2,person-010,company-010,images/film-082.svg,Abstract poster artwork for Last Room
film-083,Little Archive,little-archive-083,2021,2021-11-02,Festival Coverage,"A fictional animation about climate, play and an unexpected factory encounter.",626,Animation,Science Fiction|Dance Film,Climate|Play|Place,Stop Motion|Long Take,Portugal,Germany,Forest,35mm,Colour,1.85:1,3,person-011,company-011,images/film-083.svg,Abstract poster artwork for Little Archive
film-084,Lost Glass,lost-glass-084,2008,2008-12-03,Best of Fest,"A fictional experimental about identity, power and an unexpected island encounter.",709,Experimental,Comedy|Environmental,Identity|Power|Family,Hand-drawn Animation|Found Sound,Netherlands,Japan,Home,Super 8,Colour,2.39:1,4,person-012,company-012,images/film-084.svg,Abstract poster artwork for Lost Glass
film-085,North Moon,north-moon-085,2015,2015-01-04,Interview,"A fictional documentary about community, home and an unexpected mountain encounter.",792,Documentary,Portrait|Mystery,Community|Home|Belonging,16mm|Motion Capture,United Kingdom,Ireland,Factory,Mixed media,Colour,1:1,5,person-013|person-020,company-013,images/film-085.svg,Abstract poster artwork for North Moon
film-086,Open Sky,open-sky-086,2022,2022-02-05,Industry Insight,"A fictional drama about grief, time and an unexpected school encounter.",875,Drama,Dance Film|Music Film,Grief|Time|Work,Mixed Media|Miniatures,Brazil,Canada,Island,Digital,Colour,16:9,1,person-014,company-014,images/film-086.svg,Abstract poster artwork for Open Sky
film-087,Quiet City,quiet-city-087,2009,2009-03-06,Top Ten,"A fictional animation about play, memory and an unexpected river encounter.",958,Animation,Environmental|Social Realism,Play|Memory|Technology,Long Take|Archive Footage,France,Norway,Mountain,16mm,Colour,4:3,2,person-015,company-015,images/film-087.svg,Abstract poster artwork for Quiet City
