filmId,taxonomy,term
film-024,genre,Dance Film
film-024,theme,Body
film-024,theme,City
film-024,technique,Choreography
film-024,technique,Split Screen
film-024,form,Experimental
film-024,country,United Kingdom
film-024,storyLocation,City
film-025,genre,Portrait
film-025,genre,Mystery
film-025,theme,Community
film-025,theme,Home
film-025,theme,Belonging
film-025,technique,16mm
film-025,technique,Motion Capture
film-025,form,Documentary
film-025,country,United Kingdom
film-025,storyLocation,Factory
film-026,genre,Dance Film
film-026,genre,Music Film
film-026,theme,Grief
film-026,theme,Time
film-026,theme,Work
film-026,technique,Mixed Media
film-026,technique,Miniatures
film-026,form,Drama
film-026,country,Brazil
film-026,storyLocation,Island
film-027,genre,Environmental
film-027,genre,Social Realism
film-027,theme,Play
film-027,theme,Memory
film-027,theme,Technology
film-027,technique,Long Take
film-027,technique,Archive Footage
film-027,form,Animation
film-027,country,France
film-027,storyLocation,Mountain
film-028,genre,Mystery
film-028,genre,Essay Film
film-028,theme,Power
film-028,theme,Place
film-028,theme,Migration
film-028,technique,Found Sound
film-028,technique,Natural Light
film-028,form,Experimental
film-028,country,Nigeria
film-028,storyLocation,School
film-029,genre,Music Film
film-029,genre,Coming of Age
film-029,theme,Home
film-029,theme,Family
film-029,theme,Climate
film-029,technique,Motion Capture
film-029,technique,Stop Motion
film-029,form,Documentary
film-029,country,Spain
film-029,storyLocation,River
film-030,genre,Social Realism
film-030,genre,Science Fiction
film-030,theme,Time
film-030,theme,Belonging
film-030,theme,Identity
film-030,technique,Miniatures
film-030,technique,Hand-drawn Animation
film-030,form,Drama
film-030,country,Norway
film-030,storyLocation,Suburb
film-031,genre,Essay Film
film-031,genre,Comedy
film-031,theme,Memory
film-031,theme,Work
film-031,theme,Community
film-031,technique,Archive Footage
film-031,technique,16mm
film-031,form,Animation
film-031,country,Canada
film-031,storyLocation,Coast
film-032,genre,Coming of Age
film-032,genre,Portrait
film-032,theme,Place
film-032,theme,Technology
film-032,theme,Grief
film-032,technique,Natural Light
film-032,technique,Mixed Media
film-032,form,Experimental
film-032,country,Ireland
film-032,storyLocation,City
film-033,genre,Science Fiction
film-033,genre,Dance Film
film-033,theme,Family
film-033,theme,Migration
film-033,theme,Play
film-033,technique,Stop Motion
film-033,technique,Long Take
film-033,form,Documentary
film-033,country,Japan
film-033,storyLocation,Forest
film-034,genre,Comedy
film-034,genre,Environmental
film-034,theme,Belonging
film-034,theme,Climate
film-034,theme,Power
film-034,technique,Hand-drawn Animation
film-034,technique,Found Sound
film-034,form,Drama
film-034,country,Germany
film-034,storyLocation,Home
film-035,genre,Portrait
film-035,genre,Mystery
film-035,theme,Work
film-035,theme,Identity
film-035,theme,Home
film-035,technique,16mm
film-035,technique,Motion Capture
film-035,form,Animation
film-035,country,Portugal
film-035,storyLocation,Factory
film-036,genre,Dance Film
film-036,genre,Music Film
film-036,theme,Technology
film-036,theme,Community
film-036,theme,Time
film-036,technique,Mixed Media
film-036,technique,Miniatures
film-036,form,Experimental
film-036,country,Netherlands
film-036,storyLocation,Island
film-037,genre,Environmental
film-037,genre,Social Realism
film-037,theme,Migration
film-037,theme,Grief
film-037,theme,Memory
film-037,technique,Long Take
film-037,technique,Archive Footage
film-037,form,Documentary
film-037,country,United Kingdom
film-037,storyLocation,Mountain
film-038,genre,Mystery
film-038,genre,Essay Film
film-038,theme,Climate
film-038,theme,Play
film-038,theme,Place
film-038,technique,Found Sound
film-038,technique,Natural Light
film-038,form,Drama
film-038,country,Brazil
film-038,storyLocation,School
film-039,genre,Music Film
film-039,genre,Coming of Age
film-039,theme,Identity
film-039,theme,Power
film-039,theme,Family
film-039,technique,Motion Capture
film-039,technique,Stop Motion
film-039,form,Animation
film-039,country,France
film-039,storyLocation,River
film-040,genre,Social Realism
film-040,genre,Science Fiction
film-040,theme,Community
film-040,theme,Home
film-040,theme,Belonging
film-040,technique,Miniatures
film-040,technique,Hand-drawn Animation
film-040,form,Experimental
film-040,country,Nigeria
film-040,storyLocation,Suburb
film-041,genre,Essay Film
film-041,genre,Comedy
film-041,theme,Grief
film-041,theme,Time
film-041,theme,Work
film-041,technique,Archive Footage
film-041,technique,16mm
film-041,form,Documentary
film-041,country,Spain
film-041,storyLocation,Coast
film-042,genre,Coming of Age
film-042,genre,Portrait
film-042,theme,Play
film-042,theme,Memory
film-042,theme,Technology
film-042,technique,Natural Light
film-042,technique,Mixed Media
film-042,form,Drama
film-042,country,Norway
film-042,storyLocation,City
film-043,genre,Science Fiction
film-043,genre,Dance Film
film-043,theme,Power
film-043,theme,Place
film-043,theme,Migration
film-043,technique,Stop Motion
film-043,technique,Long Take
film-043,form,Animation
film-043,country,Canada
film-043,storyLocation,Forest
film-044,genre,Comedy
film-044,genre,Environmental
film-044,theme,Home
film-044,theme,Family
film-044,theme,Climate
film-044,technique,Hand-drawn Animation
film-044,technique,Found Sound
film-044,form,Experimental
film-044,country,Ireland
film-044,storyLocation,Home
film-045,genre,Portrait
film-045,genre,Mystery
film-045,theme,Time
film-045,theme,Belonging
film-045,theme,Identity
film-045,technique,16mm
film-045,technique,Motion Capture
film-045,form,Documentary
film-045,country,Japan
film-045,storyLocation,Factory
film-046,genre,Dance Film
film-046,genre,Music Film
film-046,theme,Memory
film-046,theme,Work
film-046,theme,Community
film-046,technique,Mixed Media
film-046,technique,Miniatures
film-046,form,Drama
film-046,country,Germany
film-046,storyLocation,Island
film-047,genre,Environmental
film-047,genre,Social Realism
film-047,theme,Place
film-047,theme,Technology
film-047,theme,Grief
film-047,technique,Long Take
film-047,technique,Archive Footage
film-047,form,Animation
film-047,country,Portugal
film-047,storyLocation,Mountain
film-048,genre,Mystery
film-048,genre,Essay Film
film-048,theme,Family
film-048,theme,Migration
film-048,theme,Play
film-048,technique,Found Sound
film-048,technique,Natural Light
film-048,form,Experimental
film-048,country,Netherlands
film-048,storyLocation,School
film-049,genre,Music Film
film-049,genre,Coming of Age
film-049,theme,Belonging
film-049,theme,Climate
film-049,theme,Power
film-049,technique,Motion Capture
film-049,technique,Stop Motion
film-049,form,Documentary
film-049,country,United Kingdom
film-049,storyLocation,River
film-050,genre,Social Realism
film-050,genre,Science Fiction
film-050,theme,Work
film-050,theme,Identity
film-050,theme,Home
film-050,technique,Miniatures
film-050,technique,Hand-drawn Animation
film-050,form,Drama
film-050,country,Brazil
film-050,storyLocation,Suburb
film-051,genre,Essay Film
film-051,genre,Comedy
film-051,theme,Technology
film-051,theme,Community
film-051,theme,Time
film-051,technique,Archive Footage
film-051,technique,16mm
film-051,form,Animation
film-051,country,France
film-051,storyLocation,Coast
film-052,genre,Coming of Age
film-052,genre,Portrait
film-052,theme,Migration
film-052,theme,Grief
film-052,theme,Memory
film-052,technique,Natural Light
film-052,technique,Mixed Media
film-052,form,Experimental
film-052,country,Nigeria
film-052,storyLocation,City
film-053,genre,Science Fiction
film-053,genre,Dance Film
film-053,theme,Climate
film-053,theme,Play
film-053,theme,Place
film-053,technique,Stop Motion
film-053,technique,Long Take
film-053,form,Documentary
film-053,country,Spain
film-053,storyLocation,Forest
film-054,genre,Comedy
film-054,genre,Environmental
film-054,theme,Identity
film-054,theme,Power
film-054,theme,Family
film-054,technique,Hand-drawn Animation
film-054,technique,Found Sound
film-054,form,Drama
film-054,country,Norway
film-054,storyLocation,Home
film-055,genre,Portrait
film-055,genre,Mystery
film-055,theme,Community
film-055,theme,Home
film-055,theme,Belonging
film-055,technique,16mm
film-055,technique,Motion Capture
film-055,form,Animation
film-055,country,Canada
film-055,storyLocation,Factory
film-056,genre,Dance Film
film-056,genre,Music Film
film-056,theme,Grief
film-056,theme,Time
film-056,theme,Work
film-056,technique,Mixed Media
film-056,technique,Miniatures
film-056,form,Experimental
film-056,country,Ireland
film-056,storyLocation,Island
film-057,genre,Environmental
film-057,genre,Social Realism
film-057,theme,Play
film-057,theme,Memory
film-057,theme,Technology
film-057,technique,Long Take
film-057,technique,Archive Footage
film-057,form,Documentary
film-057,country,Japan
film-057,storyLocation,Mountain
film-058,genre,Mystery
film-058,genre,Essay Film
film-058,theme,Power
film-058,theme,Place
film-058,theme,Migration
film-058,technique,Found Sound
film-058,technique,Natural Light
film-058,form,Drama
film-058,country,Germany
film-058,storyLocation,School
film-059,genre,Music Film
film-059,genre,Coming of Age
film-059,theme,Home
film-059,theme,Family
film-059,theme,Climate
film-059,technique,Motion Capture
film-059,technique,Stop Motion
film-059,form,Animation
film-059,country,Portugal
film-059,storyLocation,River
film-060,genre,Social Realism
film-060,genre,Science Fiction
film-060,theme,Time
film-060,theme,Belonging
film-060,theme,Identity
film-060,technique,Miniatures
film-060,technique,Hand-drawn Animation
film-060,form,Experimental
film-060,country,Netherlands
film-060,storyLocation,Suburb
film-061,genre,Essay Film
film-061,genre,Comedy
film-061,theme,Memory
film-061,theme,Work
film-061,theme,Community
film-061,technique,Archive Footage
film-061,technique,16mm
film-061,form,Documentary
film-061,country,United Kingdom
film-061,storyLocation,Coast
film-062,genre,Coming of Age
film-062,genre,Portrait
film-062,theme,Place
film-062,theme,Technology
film-062,theme,Grief
film-062,technique,Natural Light
film-062,technique,Mixed Media
film-062,form,Drama
film-062,country,Brazil
film-062,storyLocation,City
film-063,genre,Science Fiction
film-063,genre,Dance Film
film-063,theme,Family
film-063,theme,Migration
film-063,theme,Play
film-063,technique,Stop Motion
film-063,technique,Long Take
film-063,form,Animation
film-063,country,France
film-063,storyLocation,Forest
film-064,genre,Comedy
film-064,genre,Environmental
film-064,theme,Belonging
film-064,theme,Climate
film-064,theme,Power
film-064,technique,Hand-drawn Animation
film-064,technique,Found Sound
film-064,form,Experimental
film-064,country,Nigeria
film-064,storyLocation,Home
film-065,genre,Portrait
film-065,genre,Mystery
film-065,theme,Work
film-065,theme,Identity
film-065,theme,Home
film-065,technique,16mm
film-065,technique,Motion Capture
film-065,form,Documentary
film-065,country,Spain
film-065,storyLocation,Factory
film-066,genre,Dance Film
film-066,genre,Music Film
film-066,theme,Technology
film-066,theme,Community
film-066,theme,Time
film-066,technique,Mixed Media
film-066,technique,Miniatures
film-066,form,Drama
film-066,country,Norway
film-066,storyLocation,Island
film-067,genre,Environmental
film-067,genre,Social Realism
film-067,theme,Migration
film-067,theme,Grief
film-067,theme,Memory
film-067,technique,Long Take
film-067,technique,Archive Footage
film-067,form,Animation
film-067,country,Canada
film-067,storyLocation,Mountain
film-068,genre,Mystery
film-068,genre,Essay Film
film-068,theme,Climate
film-068,theme,Play
film-068,theme,Place
film-068,technique,Found Sound
film-068,technique,Natural Light
film-068,form,Experimental
film-068,country,Ireland
film-068,storyLocation,School
film-069,genre,Music Film
film-069,genre,Coming of Age
film-069,theme,Identity
film-069,theme,Power
film-069,theme,Family
film-069,technique,Motion Capture
film-069,technique,Stop Motion
film-069,form,Documentary
film-069,country,Japan
film-069,storyLocation,River
film-070,genre,Social Realism
film-070,genre,Science Fiction
film-070,theme,Community
film-070,theme,Home
film-070,theme,Belonging
film-070,technique,Miniatures
film-070,technique,Hand-drawn Animation
film-070,form,Drama
film-070,country,Germany
film-070,storyLocation,Suburb
film-071,genre,Essay Film
film-071,genre,Comedy
film-071,theme,Grief
film-071,theme,Time
film-071,theme,Work
film-071,technique,Archive Footage
film-071,technique,16mm
film-071,form,Animation
film-071,country,Portugal
film-071,storyLocation,Coast
film-072,genre,Coming of Age
film-072,genre,Portrait
film-072,theme,Play
film-072,theme,Memory
film-072,theme,Technology
film-072,technique,Natural Light
film-072,technique,Mixed Media
film-072,form,Experimental
film-072,country,Netherlands
film-072,storyLocation,City
film-073,genre,Science Fiction
film-073,genre,Dance Film
film-073,theme,Power
film-073,theme,Place
film-073,theme,Migration
film-073,technique,Stop Motion
film-073,technique,Long Take
film-073,form,Documentary
film-073,country,United Kingdom
film-073,storyLocation,Forest
film-074,genre,Comedy
film-074,genre,Environmental
film-074,theme,Home
film-074,theme,Family
film-074,theme,Climate
film-074,technique,Hand-drawn Animation
film-074,technique,Found Sound
film-074,form,Drama
film-074,country,Brazil
film-074,storyLocation,Home
film-075,genre,Portrait
film-075,genre,Mystery
film-075,theme,Time
film-075,theme,Belonging
film-075,theme,Identity
film-075,technique,16mm
film-075,technique,Motion Capture
film-075,form,Animation
film-075,country,France
film-075,storyLocation,Factory
film-076,genre,Dance Film
film-076,genre,Music Film
film-076,theme,Memory
film-076,theme,Work
film-076,theme,Community
film-076,technique,Mixed Media
film-076,technique,Miniatures
film-076,form,Experimental
film-076,country,Nigeria
film-076,storyLocation,Island
film-077,genre,Environmental
film-077,genre,Social Realism
film-077,theme,Place
film-077,theme,Technology
film-077,theme,Grief
film-077,technique,Long Take
film-077,technique,Archive Footage
film-077,form,Documentary
film-077,country,Spain
film-077,storyLocation,Mountain
film-078,genre,Mystery
film-078,genre,Essay Film
film-078,theme,Family
film-078,theme,Migration
film-078,theme,Play
film-078,technique,Found Sound
film-078,technique,Natural Light
film-078,form,Drama
film-078,country,Norway
film-078,storyLocation,School
film-079,genre,Music Film
film-079,genre,Coming of Age
film-079,theme,Belonging
film-079,theme,Climate
film-079,theme,Power
film-079,technique,Motion Capture
film-079,technique,Stop Motion
film-079,form,Animation
film-079,country,Canada
film-079,storyLocation,River
film-080,genre,Social Realism
film-080,genre,Science Fiction
film-080,theme,Work
film-080,theme,Identity
film-080,theme,Home
film-080,technique,Miniatures
film-080,technique,Hand-drawn Animation
film-080,form,Experimental
film-080,country,Ireland
film-080,storyLocation,Suburb
film-081,genre,Essay Film
film-081,genre,Comedy
film-081,theme,Technology
film-081,theme,Community
film-081,theme,Time
film-081,technique,Archive Footage
film-081,technique,16mm
film-081,form,Documentary
film-081,country,Japan
film-081,storyLocation,Coast
film-082,genre,Coming of Age
film-082,genre,Portrait
film-082,theme,Migration
film-082,theme,Grief
film-082,theme,Memory
film-082,technique,Natural Light
film-082,technique,Mixed Media
film-082,form,Drama
film-082,country,Germany
film-082,storyLocation,City
film-083,genre,Science Fiction
film-083,genre,Dance Film
film-083,theme,Climate
film-083,theme,Play
film-083,theme,Place
film-083,technique,Stop Motion
film-083,technique,Long Take
film-083,form,Animation
film-083,country,Portugal
film-083,storyLocation,Forest
film-084,genre,Comedy
film-084,genre,Environmental
film-084,theme,Identity
film-084,theme,Power
film-084,theme,Family
film-084,technique,Hand-drawn Animation
film-084,technique,Found Sound
film-084,form,Experimental
film-084,country,Netherlands
film-084,storyLocation,Home
film-085,genre,Portrait
film-085,genre,Mystery
film-085,theme,Community
film-085,theme,Home
film-085,theme,Belonging
film-085,technique,16mm
film-085,technique,Motion Capture
film-085,form,Documentary
film-085,country,United Kingdom
film-085,storyLocation,Factory
film-086,genre,Dance Film
film-086,genre,Music Film
film-086,theme,Grief
film-086,theme,Time
film-086,theme,Work
film-086,technique,Mixed Media
film-086,technique,Miniatures
film-086,form,Drama
film-086,country,Brazil
film-086,storyLocation,Island
film-087,genre,Environmental
film-087,genre,Social Realism
film-087,theme,Play
film-087,theme,Memory
film-087,theme,Technology
film-087,technique,Long Take
film-087,technique,Archive Footage
film-087,form,Animation
film-087,country,France
film-087,storyLocation,Mountain
film-088,genre,Mystery
film-088,genre,Essay Film
film-088,theme,Power
film-088,theme,Place
film-088,theme,Migration
film-088,technique,Found Sound
film-088,technique,Natural Light
film-088,form,Experimental
film-088,country,Nigeria
film-088,storyLocation,School
film-089,genre,Music Film
film-089,genre,Coming of Age
film-089,theme,Home
film-089,theme,Family
film-089,theme,Climate
film-089,technique,Motion Capture
film-089,technique,Stop Motion
film-089,form,Documentary
film-089,country,Spain
film-089,storyLocation,River
film-090,genre,Social Realism
film-090,genre,Science Fiction
film-090,theme,Time
film-090,theme,Belonging
film-090,theme,Identity
film-090,technique,Miniatures
film-090,technique,Hand-drawn Animation
film-090,form,Drama
film-090,country,Norway
film-090,storyLocation,Suburb
film-091,genre,Essay Film
film-091,genre,Comedy
film-091,theme,Memory
film-091,theme,Work
film-091,theme,Community
film-091,technique,Archive Footage
film-091,technique,16mm
film-091,form,Animation
film-091,country,Canada
film-091,storyLocation,Coast
film-092,genre,Coming of Age
film-092,genre,Portrait
film-092,theme,Place
film-092,theme,Technology
film-092,theme,Grief
film-092,technique,Natural Light
film-092,technique,Mixed Media
film-092,form,Experimental
film-092,country,Ireland
film-092,storyLocation,City
film-093,genre,Science Fiction
film-093,genre,Dance Film
film-093,theme,Family
film-093,theme,Migration
film-093,theme,Play
film-093,technique,Stop Motion
film-093,technique,Long Take
film-093,form,Documentary
film-093,country,Japan
film-093,storyLocation,Forest
film-094,genre,Comedy
film-094,genre,Environmental
film-094,theme,Belonging
film-094,theme,Climate
film-094,theme,Power
film-094,technique,Hand-drawn Animation
film-094,technique,Found Sound
film-094,form,Drama
film-094,country,Germany
film-094,storyLocation,Home
film-095,genre,Portrait
film-095,genre,Mystery
film-095,theme,Work
film-095,theme,Identity
film-095,theme,Home
film-095,technique,16mm
film-095,technique,Motion Capture
film-095,form,Animation
film-095,country,Portugal
film-095,storyLocation,Factory
film-096,genre,Dance Film
film-096,genre,Music Film
film-096,theme,Technology
film-096,theme,Community
film-096,theme,Time
film-096,technique,Mixed Media
film-096,technique,Miniatures
film-096,form,Experimental
film-096,country,Netherlands
film-096,storyLocation,Island
film-097,genre,Environmental
film-097,genre,Social Realism
film-097,theme,Migration
film-097,theme,Grief
film-097,theme,Memory
film-097,technique,Long Take
film-097,technique,Archive Footage
film-097,form,Documentary
film-097,country,United Kingdom
film-097,storyLocation,Mountain
film-098,genre,Mystery
film-098,genre,Essay Film
film-098,theme,Climate
film-098,theme,Play
film-098,theme,Place
film-098,technique,Found Sound
film-098,technique,Natural Light
film-098,form,Drama
film-098,country,Brazil
film-098,storyLocation,School
film-099,genre,Music Film
film-099,genre,Coming of Age
film-099,theme,Identity
film-099,theme,Power
film-099,theme,Family
film-099,technique,Motion Capture
film-099,technique,Stop Motion
film-099,form,Animation
film-099,country,France
film-099,storyLocation,River
film-100,genre,Social Realism
film-100,genre,Science Fiction
film-100,theme,Community
film-100,theme,Home
film-100,theme,Belonging
film-100,technique,Miniatures
film-100,technique,Hand-drawn Animation
film-100,form,Experimental
film-100,country,Nigeria
film-100,storyLocation,Suburb
film-101,genre,Essay Film
film-101,genre,Comedy
film-101,theme,Grief
film-101,theme,Time
film-101,theme,Work
film-101,technique,Archive Footage
film-101,technique,16mm
film-101,form,Documentary
film-101,country,Spain
film-101,storyLocation,Coast
film-102,genre,Coming of Age
film-102,genre,Portrait
film-102,theme,Play
film-102,theme,Memory
film-102,theme,Technology
film-102,technique,Natural Light
film-102,technique,Mixed Media
film-102,form,Drama
film-102,country,Norway
film-102,storyLocation,City
film-103,genre,Science Fiction
film-103,genre,Dance Film
film-103,theme,Power
film-103,theme,Place
film-103,theme,Migration
film-103,technique,Stop Motion
film-103,technique,Long Take
film-103,form,Animation
film-103,country,Canada
film-103,storyLocation,Forest
film-104,genre,Comedy
film-104,genre,Environmental
film-104,theme,Home
film-104,theme,Family
film-104,theme,Climate
film-104,technique,Hand-drawn Animation
film-104,technique,Found Sound
film-104,form,Experimental
film-104,country,Ireland
film-104,storyLocation,Home
film-105,genre,Portrait
film-105,genre,Mystery
film-105,theme,Time
film-105,theme,Belonging
film-105,theme,Identity
film-105,technique,16mm
film-105,technique,Motion Capture
film-105,form,Documentary
film-105,country,Japan
film-105,storyLocation,Factory
film-106,genre,Dance Film
film-106,genre,Music Film
film-106,theme,Memory
film-106,theme,Work
film-106,theme,Community
film-106,technique,Mixed Media
film-106,technique,Miniatures
film-106,form,Drama
film-106,country,Germany
film-106,storyLocation,Island
film-107,genre,Environmental
film-107,genre,Social Realism
film-107,theme,Place
film-107,theme,Technology
film-107,theme,Grief
film-107,technique,Long Take
film-107,technique,Archive Footage
film-107,form,Animation
film-107,country,Portugal
film-107,storyLocation,Mountain
film-108,genre,Mystery
film-108,genre,Essay Film
film-108,theme,Family
film-108,theme,Migration
film-108,theme,Play
film-108,technique,Found Sound
film-108,technique,Natural Light
film-108,form,Experimental
film-108,country,Netherlands
film-108,storyLocation,School
film-109,genre,Music Film
film-109,genre,Coming of Age
film-109,theme,Belonging
film-109,theme,Climate
film-109,theme,Power
film-109,technique,Motion Capture
film-109,technique,Stop Motion
film-109,form,Documentary
film-109,country,United Kingdom
film-109,storyLocation,River
film-110,genre,Social Realism
film-110,genre,Science Fiction
film-110,theme,Work
film-110,theme,Identity
film-110,theme,Home
film-110,technique,Miniatures
film-110,technique,Hand-drawn Animation
film-110,form,Drama
film-110,country,Brazil
film-110,storyLocation,Suburb
film-111,genre,Essay Film
film-111,genre,Comedy
film-111,theme,Technology
film-111,theme,Community
film-111,theme,Time
film-111,technique,Archive Footage
film-111,technique,16mm
film-111,form,Animation
film-111,country,France
film-111,storyLocation,Coast
film-112,genre,Coming of Age
film-112,genre,Portrait
film-112,theme,Migration
film-112,theme,Grief
film-112,theme,Memory
film-112,technique,Natural Light
film-112,technique,Mixed Media
film-112,form,Experimental
film-112,country,Nigeria
film-112,storyLocation,City
film-113,genre,Science Fiction
film-113,genre,Dance Film
film-113,theme,Climate
film-113,theme,Play
film-113,theme,Place
film-113,technique,Stop Motion
film-113,technique,Long Take
film-113,form,Documentary
film-113,country,Spain
film-113,storyLocation,Forest
film-114,genre,Comedy
film-114,genre,Environmental
film-114,theme,Identity
film-114,theme,Power
film-114,theme,Family
film-114,technique,Hand-drawn Animation
film-114,technique,Found Sound
film-114,form,Drama
film-114,country,Norway
film-114,storyLocation,Home
film-115,genre,Portrait
film-115,genre,Mystery
film-115,theme,Community
film-115,theme,Home
film-115,theme,Belonging
film-115,technique,16mm
film-115,technique,Motion Capture
film-115,form,Animation
film-115,country,Canada
film-115,storyLocation,Factory
film-116,genre,Dance Film
film-116,genre,Music Film
film-116,theme,Grief
film-116,theme,Time
film-116,theme,Work
film-116,technique,Mixed Media
film-116,technique,Miniatures
film-116,form,Experimental
film-116,country,Ireland
film-116,storyLocation,Island
film-117,genre,Environmental
film-117,genre,Social Realism
film-117,theme,Play
film-117,theme,Memory
film-117,theme,Technology
film-117,technique,Long Take
film-117,technique,Archive Footage
film-117,form,Documentary
film-117,country,Japan
film-117,storyLocation,Mountain
film-118,genre,Mystery
film-118,genre,Essay Film
film-118,theme,Power
film-118,theme,Place
film-118,theme,Migration
film-118,technique,Found Sound
film-118,technique,Natural Light
film-118,form,Drama
film-118,country,Germany
film-118,storyLocation,School
film-119,genre,Music Film
film-119,genre,Coming of Age
film-119,theme,Home
film-119,theme,Family
film-119,theme,Climate
film-119,technique,Motion Capture
film-119,technique,Stop Motion
film-119,form,Animation
film-119,country,Portugal
film-119,storyLocation,River
film-120,genre,Social Realism
film-120,genre,Science Fiction
film-120,theme,Time
film-120,theme,Belonging
film-120,theme,Identity
film-120,technique,Miniatures
film-120,technique,Hand-drawn Animation
film-120,form,Experimental
film-120,country,Netherlands
film-120,storyLocation,Suburb
film-121,genre,Essay Film
film-121,genre,Comedy
film-121,theme,Memory
film-121,theme,Work
film-121,theme,Community
film-121,technique,Archive Footage
film-121,technique,16mm
film-121,form,Documentary
film-121,country,United Kingdom
film-121,storyLocation,Coast
film-122,genre,Coming of Age
film-122,genre,Portrait
film-122,theme,Place
film-122,theme,Technology
film-122,theme,Grief
film-122,technique,Natural Light
film-122,technique,Mixed Media
film-122,form,Drama
film-122,country,Brazil
film-122,storyLocation,City
film-123,genre,Science Fiction
film-123,genre,Dance Film
film-123,theme,Family
film-123,theme,Migration
film-123,theme,Play
film-123,technique,Stop Motion
film-123,technique,Long Take
film-123,form,Animation
film-123,country,France
film-123,storyLocation,Forest
film-124,genre,Comedy
film-124,genre,Environmental
film-124,theme,Belonging
film-124,theme,Climate
film-124,theme,Power
film-124,technique,Hand-drawn Animation
film-124,technique,Found Sound
film-124,form,Experimental
film-124,country,Nigeria
film-124,storyLocation,Home
film-125,genre,Portrait
